model,file,system,user,assistant,tool,total
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\01d64b7b-9e56-4106-b0f0-9c0df7d011f8.json,1,1,21,28,51
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\02e8349d-6e72-4c6d-8dc9-fda68484b5cb.json,1,1,40,50,92
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\04c1fc64-17c0-4903-854d-af51762337ac.json,1,1,32,35,69
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0577f4cd-ec66-4a77-a9b5-2e09c79af83b.json,1,1,51,61,114
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\06304cc4-ea4d-4680-bef2-a78af28c0972.json,1,1,35,47,84
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\071bcd8a-a8a2-402f-931d-55cf53408f21.json,1,1,29,30,61
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\078cccac-72f4-4c39-ab7c-00fa57948b1d.json,1,1,48,57,107
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\07a89db9-6689-4815-b60c-d1fd1571230c.json,1,1,27,36,65
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0a14a0f1-7817-4b28-a971-5f13a82b95bc.json,1,1,22,22,46
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0ad49f7a-2863-4238-8cfd-7d3bb251fda1.json,1,1,21,22,45
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0b5764d0-35c0-499a-b509-5a692a040bc2.json,1,1,19,19,40
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0c69ca3e-3b3b-4e98-8026-916e90323208.json,1,1,19,20,41
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0cd68248-1f0e-4653-a3cf-e0e1e640898b.json,1,1,51,54,107
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0cd6a3cf-b556-49c6-b06a-a8cd2f1f5f97.json,1,1,34,44,80
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0d3fe93a-036e-4f15-9e07-bf58955cea63.json,1,1,67,78,147
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0da906be-5fe1-4d4c-98e3-a42028500569.json,1,1,53,69,124
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0da92014-703b-4ee0-b9ef-59d1647b9a56.json,1,1,31,37,70
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0e1f45af-06c1-464b-a3aa-8f089b09c164.json,1,1,57,62,121
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0ebbb021-f0a7-4177-88ff-70d19b02f5c8.json,1,1,40,44,86
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0f29008e-462c-4247-bf15-c25d6060a2b3.json,1,1,30,35,67
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0fbf677a-68e6-4c1e-9a9c-ed3e451c1b37.json,1,1,61,67,130
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0fdfa282-d97b-4bf1-9352-62990144003e.json,1,1,15,15,32
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\0fe13033-bc3a-4f34-bd3f-f0d2b96c5ec0.json,1,1,13,13,28
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\11165c40-6e76-46b4-8e49-5a8e606b8369.json,1,1,39,43,84
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1232e361-246d-4e9e-9923-e37bb1573925.json,1,1,25,27,54
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\125f2de2-238b-4b73-8309-768f84ce42c9.json,1,1,18,19,39
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\12984d20-e790-4e98-8f07-0fb961bc479a.json,1,1,41,52,95
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\12c80b94-4285-4265-b0ad-4b7c00c296bb.json,1,1,21,22,45
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\12dd8f93-fa57-4a22-8140-ad207d2f8998.json,1,1,30,30,62
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\14d31d72-9bcf-4cf0-9438-ac5048fa1068.json,1,1,39,47,88
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1511cd1d-9912-4cfc-89ed-e4ffab18f967.json,1,1,41,49,92
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1529a515-88e0-4355-9f48-86b413169d96.json,1,1,42,48,92
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\15806c06-847c-4a22-8bd0-ff7a8d923859.json,1,1,22,22,46
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\15f38ce9-50c8-494a-ba9d-625537db6853.json,1,1,30,35,67
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\164ac867-e690-44cf-a58e-a3cd38d0ae90.json,1,1,23,24,49
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\16a78a23-e2e4-4864-af32-5640d0ba49c7.json,1,1,26,27,55
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\16ba1407-0abe-458c-a7aa-3dc12b49b62e.json,1,1,17,18,37
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1744229f-df3a-4a57-901e-e9016ce25740.json,1,1,32,36,70
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\18112af7-8d94-482f-9691-698e772cf339.json,1,1,43,88,133
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1886cd4b-4dd5-44e4-842c-963c8e797608.json,1,1,50,73,125
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\18d2bedb-5ead-4e0c-86f2-e896f5852616.json,1,1,34,39,75
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\19224774-995d-40be-86ce-449848d3fe1d.json,1,1,25,33,60
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\19c7c6fe-06b3-4e4f-8309-c596caa8bda4.json,1,1,25,26,53
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1a5a71cc-953a-4a13-9393-0c2977821560.json,1,1,24,26,52
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1aeb364d-f7ed-4540-87b9-cdcabedced86.json,1,1,13,14,29
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1beca283-e4b3-4862-abc0-2b20270e2b56.json,1,1,28,36,66
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1c459784-f8c2-4a7b-bdd4-589957a42201.json,1,1,48,57,107
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1c8994f3-82ec-469a-a65a-177d91aba604.json,1,1,41,46,89
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1ca8b10c-7dae-4b0f-b69b-ae034be04cea.json,1,1,53,57,112
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1d16ecef-7d2c-4c0c-a66d-d3f4fda294b9.json,1,1,18,18,38
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1d7acc39-2200-4f97-8c49-86600597e9bd.json,1,1,73,93,168
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1dcbdb31-625c-4876-b06e-704cdbc158ae.json,1,1,46,49,97
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1de0d079-f506-43e7-b1b7-a0cb6a3d1b77.json,1,1,21,22,45
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1e0515dd-ba06-4cec-ba4b-34e47808a5c6.json,1,1,43,44,89
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1e0b7cd6-3d1b-4f7c-95c6-d44fa73a660b.json,1,1,32,36,70
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1e317291-0bea-44ce-bffe-151bd5280424.json,1,1,56,60,118
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1ebc4600-4022-4a42-9e57-5414539b2bf9.json,1,1,45,46,93
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1ef86be3-72bb-4477-9c6c-791a782c49ce.json,1,1,50,58,110
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\1f66a7f5-78bb-420f-b07d-8bf3b2f5ae10.json,1,1,43,47,92
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\208561b7-1ac4-473f-9c68-539eb63e339c.json,1,1,20,26,48
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\213557f9-729e-4c72-aa3e-2196eb5384eb.json,1,1,26,27,55
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\223e7d80-5230-4215-a9cb-72ae49c4da3e.json,1,1,26,28,56
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2472c1bd-8851-461d-9fcb-dbf5466694e1.json,1,1,21,27,50
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\25f93da3-27f4-485c-b438-3fdbf90f8140.json,1,1,60,75,137
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\26adfc9d-7752-4e50-9835-6c9b311013e7.json,1,1,20,25,47
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\276b68b3-d073-4386-8ffd-bc6a5addbaa6.json,1,1,23,23,48
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\27a9b06b-ed73-4237-812d-d19cfc88e952.json,1,1,18,18,38
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\27fb3e9d-eaa6-4dd5-a30c-65b945129845.json,1,1,40,41,83
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\28dc3294-cfd0-461f-b74b-7778b4fc2ddb.json,1,1,28,33,63
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\29273749-3985-4ec6-8b44-3f304324bb34.json,1,1,37,43,82
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\29afb0b4-68c0-4a9d-bbfe-2023bc8617cb.json,1,1,24,25,51
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2a441275-a2bb-4d1e-9132-004103d8660d.json,1,1,45,49,96
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2ae07481-b5c2-49e1-a9af-e0b0adb48b99.json,1,1,22,23,47
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2af68a5f-2437-4cff-b54d-b34764fe4482.json,1,1,23,25,50
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2b4d68cc-bec5-49d4-bff3-23a647c8fa36.json,1,1,19,24,45
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2ba60a29-f1b6-47bf-b0c0-a4650a78cff5.json,1,1,20,21,43
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2bdfe1bd-a0ad-4d3e-b900-f9c25e5f7f8d.json,1,1,29,33,64
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2c2ec246-6c31-4449-b977-f7584d33380e.json,1,1,25,26,53
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2c776e99-4e9c-4937-804c-3157b7767044.json,1,1,48,57,107
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2d65fbcb-d7ab-4aee-9ed2-689d83b9f75b.json,1,1,20,23,45
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\2d807c17-11a3-43db-9657-e84ff5c1262a.json,1,1,74,86,162
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\31394b0c-863b-4863-b95f-58af6d4d20fe.json,1,1,32,33,67
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3222c75a-2a4e-4991-9e8b-900cf6a0782d.json,1,1,37,43,82
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\326fd931-7ee6-4c13-841d-6815cbef8427.json,1,1,36,40,78
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\32e7fde2-24b3-4f34-9aab-2be7a241a33e.json,1,1,21,21,44
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\32eb95ca-e4b5-4f77-be7b-449a5f2da6ab.json,1,1,62,63,127
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3466e91d-0bdd-4adb-b989-4bf2f00c8b6f.json,1,1,51,60,113
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\34d94e71-73e3-41ab-87f1-00e360bd90aa.json,1,1,41,42,85
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\35774d6e-ffdd-41fd-a3bf-638733749516.json,1,1,16,21,39
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\360eb200-9f10-4dfd-851f-b93f3b64118f.json,1,1,14,16,32
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\36ff9459-b0b4-4503-b288-ce4ec2a77232.json,1,1,23,24,49
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3734d93e-037e-47e7-8533-c232a0974d50.json,1,1,44,44,90
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3768f440-1f37-4720-9bda-b9b61cdc206e.json,1,1,16,17,35
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\37912fb0-a5cc-4623-b44d-ffa4c3b86f54.json,1,1,14,18,34
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\37f93293-0be6-4214-90d6-244ecfbbe69e.json,1,1,24,26,52
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\380303e2-6996-4a38-8269-53fb55984c3b.json,1,1,38,39,79
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\38ad855d-2ab0-4843-8033-114e8f1632c5.json,1,1,18,23,43
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\390b8c0a-e356-441b-b6f5-cbf449ab952e.json,1,1,50,58,110
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\391b4be6-1ac6-4169-a9be-64e900ee48a7.json,1,1,75,90,167
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\394042a4-c5df-4cf0-a945-23e5e35db9b0.json,1,1,30,43,75
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3953bbd7-c7ac-4978-839f-4c77a0a9e45f.json,1,1,15,15,32
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\39bdfb66-83d7-4b35-92f1-81bff804720f.json,1,1,25,25,52
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\39f4ac89-3521-4ea9-8eab-563c318688ef.json,1,1,46,51,99
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3a13d090-26a3-449e-aae6-2028808047a2.json,1,1,17,17,36
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3a4bc00c-6389-4b4e-99d2-0f292c1ae805.json,1,1,79,87,168
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3a5f9b6c-9dfd-4747-9784-459806bfb918.json,1,1,48,51,101
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3a733b05-8a96-48a2-ba84-d6765c83280e.json,1,1,31,48,81
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3a9b64bd-be39-451b-a993-b711e0622f4e.json,1,1,64,77,143
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3b18c678-d839-4361-bf4b-9425565d6300.json,1,1,23,28,53
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3bd77fb5-ffde-4139-88e4-99bb56114ef7.json,1,1,22,30,54
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3be2015c-fff6-4896-80f9-61496671fe7a.json,1,1,43,47,92
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3c3a5f9d-d785-4286-b1bf-0774701019d2.json,1,1,40,41,83
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3dfaa28f-543f-4377-b022-5ce489f2d97f.json,1,1,22,23,47
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3e0fc53e-6db6-4eb6-91e1-7f750a698b95.json,1,1,23,28,53
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3e2a087b-8932-4fe9-b90d-5f3c4f3c1447.json,1,1,54,59,115
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3ec5d46a-e899-4ab0-aae0-f1f4547db1a5.json,1,1,58,71,131
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3ec74673-2346-47e8-bcf0-d2c4acb4a813.json,1,1,27,32,61
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3ef7430a-42d3-4851-b660-8f76394631c7.json,1,1,16,16,34
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3f6696cf-8508-4fcf-a5a9-85483ab63137.json,1,1,20,21,43
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3f6b4e6c-8bfd-42b2-8c0f-6a4f894cb6d8.json,1,1,29,29,60
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3f9beb47-19cd-4c19-b2c5-c08d983a06f8.json,1,1,20,21,43
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\3fba6f12-b77c-4f0d-982f-0d1c5db33f9a.json,1,1,19,21,42
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\41b4a6fb-e25a-4eca-b74a-3c0ff0c78bad.json,1,1,57,65,124
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\41b94ffd-7a99-4a81-8896-40b8afa2fcec.json,1,1,37,41,80
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4237e006-4645-4a3c-be40-f2b612a18292.json,1,1,25,25,52
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\42b292e6-29a6-478e-955f-f7e9e39b7967.json,1,1,25,33,60
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\4312fd89-336b-403f-9b1d-79a1bd984aa6.json,1,1,31,37,70
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\43916df4-97b2-4222-b9fb-56b5c11697aa.json,1,1,14,14,30
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\43ab4090-9749-4779-8245-b7e82cd7f7ed.json,1,1,39,45,86
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\442650b5-70a3-45e3-95a3-a36e42041eb5.json,1,1,27,29,58
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\453346fe-1da1-4b1e-8afd-abb437e90a60.json,1,1,32,34,68
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\45532239-19b2-40c0-8c0c-9166c7085408.json,1,1,33,34,69
claude-4-5-opus-high,experiments_for_task2\claude-4-5-opus-high\45d9be61-2e38-49eb-9be9-45b30a08cbaa.json,1,1,71,121,194
